"1","1","OUI","-"
"2","2","OUI","-"
"3","3","OUI","-"
"4","4","OUI","-"
"5","5","NON",
"6","7","NON","- "
"7","8","OUI","-"
"8","9","OUI","-"
"9","12","OUI","-"
"10","13","OUI","-"
"11","14","-","    "
"12","15","-","- "
"13","16","-","-"
"14","17","OUI","-"
"15","18","OUI","-"
"16","19","OUI","-    "
"17","20","OUI","R̩seau et maintenance  "
"18","21","OUI","Administration syst̬me et r̩seau   "
"19","22","OUI","Programmation "
"20","23","OUI","R̩seau et maintenance, Programmation signal "
"21","24","OUI","SAGE"
"22","25","OUI","-"
"23","27","OUI",
"24","28","NON","-"
"25","30","OUI","Gestion Management"
"26","31","NON","-"
"27","32","OUI","-"
"29","34","NON",
"30","35","OUI","-"
"31","36","OUI","-"
"32","37","OUI","-"
"33","39","OUI","-"
"34","41","OUI","- "
"35","42","OUI","-       "
"36","43","OUI","-  "
"37","44","OUI","-"
"38","45","OUI","-"
"39","46","OUI","Internet"
"40","47","OUI","Internet, Excel, SIG, Power Point"
"41","48","OUI","-"
"42","49","OUI","-"
"44","51","OUI","-"
"45","52","NON","-"
"46","53","NON","-"
"47","54","OUI","-"
"48","54","OUI","-"
"50","56","OUI",
"51","57","OUI","-"
"52","58","OUI","Power point "
"53","59","OUI","excel, acc̬s, internet, power point, SIG"
"54","60","OUI","-"
"55","61","OUI","analyste "
"56","62","OUI","-"
"57","63","OUI","-"
"58","64","OUI","SAARI;COALA;CADOR"
"59","65","OUI","SAGE SAARI;CIEL COMPTA"
"61","67","OUI","Programmation-Reseau-Hard et softS"
"62","68","NON","-"
"63","69","NON","-"
"64","70","OUI","-"
"65","71","OUI","-"
"66","73","-",
"67","74","NON",
"68","75","OUI","-"
"69","76","OUI","-"
"71","78","OUI","Informatique GSI -Tana"
"72","79","OUI","-"
"74","82","OUI","-"
"75","83","OUI","-"
"76","84","OUI","-"
"77","85","OUI","-"
"78","86","OUI","-"
"79","87","OUI","Photoshop, access"
"80","88","OUI","-"
"81","89","OUI","-"
"82","90","OUI","-"
"83","91","OUI",
"84","92","NON","-"
"85","93","OUI","-"
"86","94","OUI","-"
"87","95","OUI","Internet"
"88","96","OUI","Informatique ACEEM"
"89","97","OUI","-"
"90","98","OUI","Hard ware"
"91","99","OUI","R̩seau-Syst̬me"
"92","100","NON","-"
"93","101","OUI","- "
"94","102","OUI","-"
"95","103","OUI","Labot-CAPSAT"
"96","104","NON","-"
"97","105","OUI","Infographie Autocad 2A/3D"
"98","106","OUI","Informatique GSI -Tana"
"99","107","NON","-"
"100","108","OUI","-"
"102","110","OUI","-"
"103","111","NON","-"
"104","112","OUI","Informatique BIT Solution"
"105","113","OUI","Bureau finance"
"106","114","NON","-"
"107","115","NON","-"
"108","116","NON","-"
"109","117","OUI","-"
"110","118","OUI","-"
"111","119","OUI","-"
"112","120","NON","-"
"113","121","OUI","-"
