"numetatdeservice";"id_civil";"affectionactuelle";"direction";"lieudedetachement";"matricule";"fonction";"datederecrutement";"id_dettache";"indice";"interruptiondu";"au";"sortantecole";"id_rattache"
"92";"37";"SRI 3";"DIA";"-";"336518";"Comptable";"2011-10-04";"1";"296";"0000-00-00";"0000-00-00";"-";"1"
"93";"38";"Cemes Soanierana";"DIA";"-";"334366";"Maitre d'hotel";"2011-03-26";"1";"391";"0000-00-00";"0000-00-00";"-";"1"
"94";"39";"Cemes Soanierana";"DIA";"-";"350329";"D̩coratrice";"2013-11-06";"1";"291";"0000-00-00";"0000-00-00";"-";"1"
"95";"40";"cemes Ivato";"DIA";"Ivato";"377 135";"Charg̩ de projet";"2016-02-09";"1";"-";"0000-00-00";"0000-00-00";"-";"1"
"96";"41";"CABINET";"DIA";"-";"336 237";"Secr̩taire";"2010-01-01";"1";"730";"0000-00-00";"0000-00-00";"-";"1"
"97";"42";"service Juridique";"DIA";"-";"371 515 ";"Charg̩ d'Etude";"2015-04-30";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"98";"43";"service Juridique";"DIA";"-";"371 460";"Charg̩ d'Etude juridique";"0000-00-00";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"99";"44";"service Juridique";"DIA";"-";"371 527";"R̩dactrice";"2015-04-30";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"100";"45";"service Juridique";"DIA";"-";"371 516";"R̩dactrice";"2015-04-30";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"101";"46";;"DIA";"-";"371 518";"SECRETAIRE";"2015-04-30";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"102";"47";"SCF";"DIA";"-";"371 521";"SECRETAIRE";"2015-04-30";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"103";"48";"Imprimerie";"DIA";"-";"S/M";"Magasini̬re";"2008-04-01";"1";"275CT";"0000-00-00";"0000-00-00";;"1"
"104";"49";"S/ce Archives";"DIA";"-";"S/M";"Secr̩taire";"2013-05-13";"1";"370 CT";"0000-00-00";"0000-00-00";"-";"1"
"107";"51";"DIA/CISL";"DIA";"-";"S/M";"COURSIER";"2008-04-01";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"108";"52";"DIA/SMI";"DIA";"-";"S/M";"Secr̩taire";"2014-12-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"109";"53";"CAPSAT";"DIA";"CCAS-P/C-CORPS";"M/S";"CHAUFFEUR";"2013-08-01";"1";"195CT";"0000-00-00";"0000-00-00";;"1"
"110";"54";"DIA/CISL";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";"-";"1"
"111";"55";"SPCM/D2/DIA";"DIA";"-";"S/M";"Responsable CNaPS";"2013-08-01";"1";"195CT";"0000-00-00";"0000-00-00";;"1"
"112";"56";"DIA/D2";"DIA";"-";"S/M";"Secr̩taire";"2013-05-01";"1";"195CT";"0000-00-00";"0000-00-00";;"1"
"113";"57";"DIA/SPCM/D2";"DIA";"-";"S/M";"GESTION/ECD";"2010-01-10";"1";"195CT";"0000-00-00";"0000-00-00";"-";"1"
"114";"58";"DIA/SCF";"DIA";"-";"S/M";"OS1";"2010-01-01";"1";"195CT";"0000-00-00";"0000-00-00";;"1"
"115";"59";"SCF";"DIA";"-";"371521";"Suivi et ̩valuation";"2015-04-30";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"116";"60";"DIA/SCF";"DIA";"-";"371517";"responsable suivi ̩valuation budget";"2015-04-30";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"117";"61";"DIA/SCF";"DIA";"-";"377125";"suivi d'̩valuation budget";"2016-02-09";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"118";"62";"DIA/SCF";"DIA";"-";"377127";"suivi d'̩valuation budget";"2016-02-09";"1";"276";"0000-00-00";"0000-00-00";"-";"1"
"119";"63";"DIA/EMIV";"DIA";"-";"371519";"secr̩taire";"2015-04-30";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"120";"64";"DIA/CAB";"DIA";"-";"371522";"Auditeur";"2015-04-30";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"121";"65";"AUDIT";"DIA";"-";"371524";"Auditeur";"2015-04-30";"1";"276";"0000-00-00";"0000-00-00";"-";"1"
"124";"67";"DIA/SCF";"DIA";"-";"S/M";"-";"2014-08-01";"1";"370 CT";"0000-00-00";"0000-00-00";;"1"
"125";"68";"DIA/CAB";"DIA";;"-";"Femme de menage";"2014-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"126";"69";"MDN";"DIA";"MDN";"-";"Femme de menage";"2005-01-04";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"127";"70";"DIA/SG";"DIA";"-";"263317";"-";"1986-01-02";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"128";"71";"SPCM/D2";"DIA";"-";"S/M";"Responsable Gestion";"2011-06-01";"1";"320 CT";"0000-00-00";"0000-00-00";"-";"1"
"129";"72";"SCMT";"DIA";"DIA";"S/M";"Secr̩taire";"2011-06-01";"1";"320 CT";"0000-00-00";"0000-00-00";;"1"
"130";"73";"SG";"DIA";"-";"S/M";"Femme de menage";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"131";"74";"DIA/CAB";"DIA";"-";"263 084";"Femme de menage";"1994-01-01";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"132";"75";"GAC";"DIA";"-";"-";"Secr̩taire";"2013-08-01";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"133";"76";"SG";"DIA";"-";"S/M";"Mecanicien";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"134";"77";"Service INFO";"DIA";"-";"S/M";"Informaticien";"2015-10-01";"1";"320 CT";"0000-00-00";"0000-00-00";"-";"1"
"135";"78";"Capsat";"DIA";"-";"S/M";"Secr̩taire";"2013-08-01";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"136";"79";"UGPM";"DIA";"-";"S/M";"Secr̩taire";"2013-08-01";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"137";"80";"SPCM/PM";"DIA";"-";"S/M";"Archiviste";"2013-08-01";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"139";"82";"INSPECTION";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"140";"83";"DONMAC";"DIA";"-";"S/M";"Secr̩taire";"2007-06-01";"16";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"141";"84";"DIA/SOLDE";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"142";"85";"SCMT";"DIA";"-";"S/M";"Dessinataire";"2011-06-01";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"143";"86";"service Juridique";"DIA";"-";"371525";"R̩dactrice";"2015-04-30";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"144";"87";"SPCM/PC";"DIA";"-";"377133";"Chef de division";"2016-02-09";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"145";"88";"SPCM/PC";"DIA";"-";"377129";"Secr̩taire";"2016-02-09";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"146";"89";"SPCM/PC";"DIA";"-";"377136";"Secr̩taire";"2016-02-09";"1";"276";"0000-00-00";"0000-00-00";"-";"1"
"147";"90";"centre d'acceuil fiadanana ";"DIA";"-";"377131";"Charg̩ de projet";"2016-02-09";"1";"276";"0000-00-00";"0000-00-00";"-";"1"
"148";"91";" DMT labo langue";"DIA";"-";"377122";"professeur d'anglais";"2016-02-09";"14";"420";"0000-00-00";"0000-00-00";"-";"1"
"149";"92";"DIA/ECMAG";"DIA";"-";"336413";"Secr̩taire";"2011-09-09";"1";"-";"0000-00-00";"0000-00-00";"-";"1"
"150";"93";"Cemes Betongolo";"DIA";"-";"377141";"comptable";"2016-02-09";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"151";"94";"CMMGT";"DIA";"-";"377128";"Charg̩ de projet";"2016-02-09";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"152";"95";"cemes Ivato";"DIA";"-";"377135";"Charg̩ de projet";"2016-02-09";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"153";"96";"SCF";"DIA";"-";"-";"Comptable";"2011-06-01";"1";"320 CT";"0000-00-00";"0000-00-00";"-";"1"
"154";"97";"SPCM/PM";"DIA";"-";"S/M";"Secr̩taire";"2014-12-01";"1";"320 CT";"0000-00-00";"0000-00-00";"-";"1"
"155";"98";"Corps/CAPSAT";"DIA";"CAPSAT";"-";"COACH";"2013-08-01";"1";"370 CT";"0000-00-00";"0000-00-00";"-";"1"
"156";"99";"UGPM";"DIA";"-";"S/M";"comptable";"2015-01-01";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"157";"100";"SCF";"DIA";"-";"S/M";"Secr̩taire";"2008-04-01";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"158";"101";"CABINET";"DIA";"-";"S/M";"Secr̩taire";"2014-12-01";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"159";"102";"COURRIER";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"1";"370 CT";"0000-00-00";"0000-00-00";"-";"1"
"160";"103";"DIA/SPCM/D2";"DIA";"-";"S/M";"GESTION ECD/PC";"2008-04-01";"1";"370 CT";"0000-00-00";"0000-00-00";"-";"1"
"161";"104";"DIA/SG";"DIA";"-";"S/M";"Jardinier";"1996-01-01";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"162";"105";"SG";"DIA";"-";"S/M";"Chauffeur";"2011-06-01";"1";"370 CT";"0000-00-00";"0000-00-00";"-";"1"
"163";"106";"Capsat";"DIA";"-";"S/M";"Secr̩taire";"2013-08-01";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"164";"107";"SPC";"DIA";"-";"S/M";"Secr̩taire";"2014-12-01";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"165";"108";"UGPM";"DIA";"-";"S/M";"Membre UGPM";"2007-06-01";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"166";"109";"-";"DIA";"-";"S/M";"Inspection";"2013-08-01";"1";"320 CT";"0000-00-00";"0000-00-00";"-";"1"
"168";"110";"SCF";"DIA";"-";"S/M";"V̩rificateur+Op̩rateur";"2011-06-01";"1";"320 CT";"0000-00-00";"0000-00-00";"-";"1"
"169";"111";"DIA/CISL";"DIA";"-";"183.191";"Femme de menage";"1980-03-01";"1";"320 CT";"0000-00-00";"0000-00-00";"-";"1"
"176";"112";"SCF";"DIA";"-";"S/M";"comptable";"2011-06-01";"1";"370 CT";"0000-00-00";"0000-00-00";"-";"1"
"177";"113";"CISL";"DIA";"-";"S/M";"Secr̩taire";"2014-12-01";"1";"320 CT";"0000-00-00";"0000-00-00";"-";"1"
"178";"114";"SG";"DIA";"-";"263.095";"Chauffeur";"1988-11-11";"1";"320 CT";"0000-00-00";"0000-00-00";"-";"1"
"179";"115";"SCF";"DIA";"-";"263.083";"Femme de menage";"1993-08-02";"1";"275CT";"0000-00-00";"0000-00-00";"-";"1"
"180";"116";"SG";"DIA";"-";"263.111";"Jardinier";"1990-03-01";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"181";"117";"SMI";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"1";"135 CT";"0000-00-00";"0000-00-00";"-";"1"
"182";"118";"ECMAG";"DIA";"-";"-";"Comptable";"2006-05-01";"1";"276";"0000-00-00";"0000-00-00";"-";"1"
"183";"119";"Imprimerie";"DIA";"-";"-";"laborantin";"2005-01-03";"1";"276";"0000-00-00";"0000-00-00";"-";"1"
"184";"120";"Pr̩sidence";"DIA";"Ambohitsirohitra";"263141";"Coursier";"1987-03-16";"6";"-";"0000-00-00";"0000-00-00";"-";"1"
"185";"121";"Pr̩sidence";"DIA";"pr̩sidence";"263068";"billeteur";"1993-11-01";"6";"420";"0000-00-00";"0000-00-00";"-";"1"
"186";"122";"AUDIT";"DIA";"-";"377126";"Auditeur";"2016-02-09";"1";"-";"0000-00-00";"0000-00-00";"-";"1"
"187";"123";"AUDIT";"DIA";"-";"377137";"auditeur";"2016-02-09";"1";"605";"0000-00-00";"0000-00-00";"-";"1"
"188";"123";"AUDIT";"DIA";"-";"377137";"auditeur";"2016-02-09";"1";"605";"0000-00-00";"0000-00-00";"-";"1"
"189";"123";"AUDIT";"DIA";"-";"377137";"auditeur";"2016-02-09";"1";"605";"0000-00-00";"0000-00-00";"-";"1"
"190";"124";"SPCM/PM";"DIA";"-";"377121";"secr̩taire";"2016-02-09";"1";"276";"0000-00-00";"0000-00-00";"-";"1"
"191";"125";"AUDIT";"DIA";"-";"377139";"Auditeur";"2016-02-09";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"192";"126";"AUDIT";"DIA";"-";"377130";"Auditeur";"2016-02-09";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"196";"127";"AUDIT";"DIA";"-";"377123";"Auditeur";"2016-02-09";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"197";"128";"SRI 1";"DIA";"Ambohidahy";"-";"Secr̩taire";"2011-10-17";"12";"-";"0000-00-00";"0000-00-00";"-";"1"
"198";"129";"SRI 1";"DIA";"Ambohidahy";"334113";"Secr̩taire";"2011-05-02";"4";"438";"0000-00-00";"0000-00-00";"-";"1"
"199";"130";"SRI 1";"DIA";"Ambohidahy";"333507";"Secr̩taire";"2011-03-25";"15";"-";"0000-00-00";"0000-00-00";"-";"1"
"200";"131";"SG";"DIA";"-";"-";"Jardinier";"2010-01-01";"1";"160 CT";"0000-00-00";"0000-00-00";"-";"1"
"201";"132";"MDN";"DIA";"MDN";"S/M";"Chauffeur";"2011-06-01";"8";"160 CT";"0000-00-00";"0000-00-00";"-";"1"
"202";"133";"ECMAG";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";"-";"1"
"203";"134";"EMIV";"DIA";"-";"S/M";"Lancement";"2007-06-01";"1";"150CT";"0000-00-00";"0000-00-00";"-";"1"
"204";"135";"EMIV";"DIA";"-";"S/M";"Machiniste";"2007-06-01";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"205";"136";"EMIV";"DIA";"-";"S/M";"Broderie";"2014-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"206";"137";"-";"-";"-";"S/M";"Broderie";"2011-06-01";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"207";"138";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2014-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"208";"139";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2008-04-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"209";"140";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"210";"141";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2005-07-07";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"211";"142";"EMIV";"DIA";"-";"S/M";"Coupeur";"2014-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"212";"143";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2014-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"213";"144";"EMIV";"DIA";"-";"S/M";"Mecano";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"214";"145";"EMIV";"DIA";"-";"S/M";"Apicieur";"2011-06-01";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"215";"146";"EMIV";"DIA";"-";"S/M";"Coupeur";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";"-";"1"
"216";"147";"EMIV";"DIA";"-";"S/M";"Tailleur";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";"-";"1"
"217";"148";"EMIV";"DIA";"-";"S/M";"Apicieur";"2011-06-01";"1";"150CT";"0000-00-00";"0000-00-00";"-";"1"
"218";"149";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";;"1"
"219";"150";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"0000-00-00";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"220";"151";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"0000-00-00";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"221";"152";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"222";"153";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"1987-03-16";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"223";"154";"EMIV";"DIA";"-";"263.324";"Couturi̬re";"1987-09-16";"1";"320 CT";"0000-00-00";"0000-00-00";;"1"
"224";"155";"EMIV";"DIA";"-";"183.160";"Couturi̬re";"1980-03-01";"1";"320 CT";"0000-00-00";"0000-00-00";;"1"
"225";"156";"EMIV";"DIA";"-";"s/m";"Couturi̬re";"1980-11-24";"1";"320 CT";"0000-00-00";"0000-00-00";;"1"
"226";"157";"EMIV";"DIA";"-";"148.804";"Couturi̬re";"1974-11-15";"1";"320 CT";"0000-00-00";"0000-00-00";;"1"
"227";"158";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"1987-04-18";"1";"275CT";"0000-00-00";"0000-00-00";;"1"
"228";"159";"EMIV";"DIA";"-";"263.278";"Secr̩taire";"1984-03-01";"1";"350 CT";"0000-00-00";"0000-00-00";;"1"
"229";"160";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2011-06-01";"1";"370 CT";"0000-00-00";"0000-00-00";;"1"
"230";"161";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2014-12-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"231";"162";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2014-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"232";"163";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2013-08-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"233";"164";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2013-08-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"234";"165";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2013-08-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"235";"166";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2010-01-01";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"236";"167";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2013-08-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"237";"168";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2014-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"238";"169";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"239";"170";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2007-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";;"1"
"240";"171";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2013-08-01";"1";"275CT";"0000-00-00";"0000-00-00";;"1"
"241";"172";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2008-04-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"242";"173";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2014-12-01";"1";"195CT";"0000-00-00";"0000-00-00";;"1"
"243";"174";"EMIV";"DIA";"-";"S/M";"CAISSIERE";"2014-12-01";"1";"275CT";"0000-00-00";"0000-00-00";;"1"
"244";"175";"Imprimerie";"DIA";"-";"263288";"Secr̩taire";"1988-03-09";"1";"360";"0000-00-00";"0000-00-00";"-";"1"
"245";"176";"Imprimerie";"DIA";"-";"263286";"Secr̩taire";"1988-01-13";"1";"620";"0000-00-00";"0000-00-00";"-";"1"
"246";"177";"Imprimerie";"DIA";"-";"263285";"comptable";"1987-12-03";"1";"-";"0000-00-00";"0000-00-00";"-";"1"
"247";"178";"Imprimerie";"DIA";"-";"190497";"Relieur";"1980-07-20";"1";"320";"0000-00-00";"0000-00-00";"-";"1"
"248";"179";"Imprimerie";"DIA";"-";"240393";"Laborantin";"1987-02-11";"1";"480";"0000-00-00";"0000-00-00";"-";"1"
"249";"180";"Imprimerie";"DIA";"-";"159284";"Relieur";"1977-11-04";"1";"320";"0000-00-00";"0000-00-00";"-";"1"
"250";"181";"Imprimerie";"DIA";"-";"152535";"-";"1976-10-01";"1";"320";"0000-00-00";"0000-00-00";"-";"1"
"251";"182";"Imprimerie";"DIA";"-";"373937";"Infographe";"2007-09-01";"1";"260";"0000-00-00";"0000-00-00";"-";"1"
"252";"183";"S/ce Archives";"DIA";"-";"255617";"Secr̩taire";"1987-12-11";"1";"595";"0000-00-00";"0000-00-00";"-";"1"
"253";"184";"Imprimerie";"DIA";"-";"371523";"comptable";"2015-04-30";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"254";"185";"Cemes Soanierana";"DIA";"-";"213691";"-";"1983-06-20";"1";"1020";"0000-00-00";"0000-00-00";"-";"1"
"255";"186";"CEMES";"DIA";"-";"263090";"cuisinier";"1994-10-01";"1";"300";"0000-00-00";"0000-00-00";"-";"1"
"256";"187";"CEMES";"DIA";"-";"319146";"cuisinier";"1000-01-01";"1";"320";"0000-00-00";"0000-00-00";"-";"1"
