"numetatdeservice";"id_civil";"affectionactuelle";"direction";"lieudedetachement";"matricule";"fonction";"datederecrutement";"id_dettache";"indice";"interruptiondu";"au";"sortantecole";"id_rattache"
"1";"1";"DIA/SPCM/D2";"DIA";"SOANIERANA";"240380";"Responsable CNaPS";"0000-00-00";"1";"1410";"0000-00-00";"0000-00-00";;"1"
"2";"2";"DIA/SPCM/D2";"DIA";"SOANIERANA";"263089";"Responsable CNaPS";"1987-12-07";"1";"580";"0000-00-00";"0000-00-00";;"1"
"3";"3";"SPCM/PC";"DIA";"-";"263087";"Gestion Fonctionnaire";"1988-08-22";"1";"380";"0000-00-00";"0000-00-00";;"1"
"4";"4";"SPCM/D2";"DIA";"-";"241 083";"Decompteur Solde Fonctionnaire";"1987-03-30";"1";"675";"0000-00-00";"0000-00-00";;"1"
"5";"5";"SG";"DIA";;"180150";"Femme de menage";"1980-01-28";"1";"275CT";"0000-00-00";"0000-00-00";;"1"
"6";"6";"GRP 1Ã©re RFI";"DIA";"Ivato";"S/M";"CouturiÃ¨re";"2014-12-01";"5";"150CT";"0000-00-00";"0000-00-00";;"1"
"9";"9";"SPCM/PC";"DIA";"-";"202 111";"Decompteur Solde";"1982-02-23";"1";"515";"0000-00-00";"0000-00-00";;"1"
"60";"11";"DIA/SPCM/D2";"DIA";"SOANIERANA";"336435";"DECOMPTEUR DE SOLDE ECD et VALIDATION";"2008-04-01";"1";"710";"0000-00-00";"0000-00-00";;"1"
"61";"10";"DIA/SPCM/D2";"DIA";"SOANIERANA";;"SOLDES ECD et Validation";"2004-05-15";"1";"360";"0000-00-00";"0000-00-00";;"1"
"63";"12";"SPCM/D2";"DIA";"-";"S/M";"SecrÃ©taire";"2013-10-01";"1";"275CT";"0000-00-00";"0000-00-00";"CEG Ambohimiadana";"1"
"64";"13";"-";"DIA";"-";"S/M";"SECRETAIRE";"2011-06-01";"1";"195CT";"0000-00-00";"0000-00-00";"-";"1"
"65";"14";"-";"DIA";"-";"s/m";"Mecanicien";"2013-08-01";"1";"150CT";"0000-00-00";"0000-00-00";"-";"1"
"66";"15";"DIA";"DIA";"SOANIERANA";"S/M";"MACON";"2014-12-01";"1";"195CT";"0000-00-00";"0000-00-00";"-";"1"
"67";"16";"-";"DIA";"-";"S/M";"Mecanicien/Chauffeur";"2011-06-11";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"68";"17";"SEOM";"DIA";"-";"S/M";"SECRETAIRE";"2014-12-01";"1";"195CT";"0000-00-00";"0000-00-00";"-";"1"
"69";"18";"COURRIER";"DIA";"-";"S/M";"SECRETAIRE";"2013-08-01";"1";"195CT";"0000-00-00";"0000-00-00";"-";"1"
"70";"7";"SPCM/PC";"DIA";"-";"242 564";"GESTION ECD";"1987-06-19";"1";"605";"0000-00-00";"0000-00-00";"-";"1"
"71";"8";"SPCM/PC";"DIA";"-";"373 941";"GESTION ECD";"2007-06-01";"1";"300";"0000-00-00";"0000-00-00";"-";"1"
"72";"19";"Service INFO";"DIA";"-";"371 511";"Informaticien";"2015-04-30";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"73";"20";"Service INFO";"DIA";"-";"371 513";"Informaticienne";"2015-04-30";"1";"420";"0000-00-00";"0000-00-00";"ENI Fianarantsoa";"1"
"74";"21";"Service INFO";"DIA";"-";"377118";"Informaticien";"2016-02-09";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"75";"22";"Service INFO";"DIA";"-";"377119";"DÃ©vÃ©loppeur";"2016-02-09";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"76";"23";"Service INFO";"DIA";"-";"377134";"TÃ©chnicien SystÃ¨me rÃ©seau";"2016-02-09";"1";"356";"0000-00-00";"0000-00-00";"-";"1"
"77";"24";"CMMGT";"DIA";"Fiadanana";"371509";"Comptable";"2015-04-30";"1";"420";"0000-00-00";"0000-00-00";"-";"1"
"78";"25";"DIA";"DIA";"SRI 7";"348669";"opÃ©rateur de saisie";"2011-06-01";"1";"-";"0000-00-00";"0000-00-00";"-";"1"
"79";"26";"-";"DIA";"SRI4";"336 238";"SecrÃ©taire";"0000-00-00";"1";"-";"0000-00-00";"0000-00-00";"-";"1"
"80";"27";"SRI3";"DIA";"D1/SRI 3";"349 922";"SecrÃ©taire";"2011-06-01";"1";"-";"0000-00-00";"0000-00-00";;"1"
"83";"28";"1/RM1";"DIA";"1/RM1";"S/M";"COUTURIERE";"2011-06-01";"7";"150CT";"0000-00-00";"0000-00-00";"-";"1"
"85";"30";"DIA/SOLDE";"DIA";"DIA";"S/M";"SecrÃ©taire";"2011-06-01";"1";"370 CT";"0000-00-00";"0000-00-00";;"1"
"86";"31";"1Â° RFI";"DIA";"IVATO";"-";"COUTURIERE";"2010-01-01";"5";"370 CT";"0000-00-00";"0000-00-00";"-";"1"
"87";"32";"DIA/SMI";"DIA";"-";"S/M";"SECRETAIRE";"2011-06-01";"1";"370 CT";"0000-00-00";"0000-00-00";;"1"
"89";"34";"S/G";"DIA";"-";"S/M";"Chauffeur";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";"-";"1"
"90";"35";"MDN/COSFA";"DIA";"-";"S/M";"Basketeur";"2011-06-01";"8";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"91";"36";"SRI 3";"DIA";"D2/SRI 3";"336434";"VÃ©rificateur";"0000-00-00";"1";"-";"0000-00-00";"0000-00-00";"UnivÃ©rsitÃ© de Toamasina";"1"
